UF,MUNICIPIO,ZONA,ELEITORES_TOTAL,ELEITORES_FEMININO,ELEITORES_MASCULINO,SECOES
BA,Arataca,166,6580,3260,3320,24
BA,Aratuípe,30,8420,4294,4126,30
BA,Araçás,200,10664,5538,5126,30
BA,Aurelino Leal,73,9605,4989,4616,36
BA,Baianópolis,126,12231,6041,6190,49
BA,Baixa Grande,86,15068,7716,7352,57
BA,Banzaê,110,10715,5396,5319,41
BA,Barra,77,36609,18212,18397,145
BA,Barra da Estiva,169,20484,10179,10305,73
BA,Barra do Choça,139,28389,14755,13634,111
BA,Barra do Mendes,176,11797,5996,5801,61
BA,Barra do Rocha,134,4432,2258,2174,26
BA,Barreiras,70,57511,30328,27183,175
BA,Barreiras,75,48284,25213,23071,159
BA,Barro Alto,174,11314,5631,5683,41
BA,Barro Preto,136,5804,2824,2980,23
BA,Barrocas,150,14642,7392,7250,51
BA,Belmonte,34,14567,7492,7075,58
BA,Belo Campo,177,15382,7823,7559,66
BA,Biritinga,150,13031,6743,6288,46
BA,Boa Nova,59,12698,6307,6391,58
BA,Boa Vista do Tupim,42,13908,7009,6899,55
BA,Bom Jesus da Lapa,71,47966,25113,22853,172
BA,Bom Jesus da Serra,59,9093,4525,4568,34
BA,Boninal,105,10680,5534,5146,45
BA,Bonito,69,11972,6071,5901,42
BA,Boquira,65,16432,8437,7995,77
BA,Botuporã,168,9416,4723,4693,37
BA,Brejolândia,190,8390,4061,4329,32
BA,Brejões,36,10707,5347,5360,37
BA,Brotas de Macaúbas,94,9282,4566,4716,50
BA,Brumado,90,52425,27235,25190,191
BA,Buerarema,166,12898,6715,6183,42
BA,Buritirama,77,15626,7595,8031,57
BA,Caatiba,201,5788,2821,2967,34
BA,Cabaceiras do Paraguaçu,131,14174,7478,6696,47
BA,Cachoeira,118,25535,13461,12074,87
BA,Caculé,93,17774,9111,8663,60
BA,Caetanos,58,11002,5335,5667,34
BA,Caetité,63,41437,21441,19996,159
BA,Cafarnaum,55,14200,7190,7010,50
BA,Cairu,31,15444,8019,7425,46
BA,Caldeirão Grande,115,10190,5229,4961,34
BA,Camacan,133,17033,8951,8082,82
BA,Camamu,78,24121,12666,11455,91
BA,Camaçari,170,96039,51863,44176,255
BA,Camaçari,171,109216,59598,49618,296
BA,Campo Alegre de Lourdes,67,22924,11552,11372,87
BA,Campo Formoso,53,56659,29047,27612,225
BA,Canarana,174,19474,10052,9422,74
BA,Canavieiras,116,25120,13066,12054,93
BA,Candeal,114,7685,3872,3813,28
BA,Candeias,127,64423,34432,29991,202
BA,Candiba,64,11321,5727,5594,36
BA,Cansanção,50,28381,14389,13992,111
BA,Canudos,83,12777,6356,6421,55
BA,Canápolis,99,8617,4204,4413,34
BA,Capela do Alto Alegre,196,9610,4869,4741,36
BA,Capim Grosso,191,24201,12863,11338,75
BA,Caravelas,112,16131,8170,7961,51
BA,Caraíbas,161,8440,4151,4289,30
BA,Cardeal da Silva,144,7883,4034,3849,31
BA,Carinhanha,125,21961,10880,11081,78
BA,Casa Nova,66,56297,28394,27903,201
BA,Castro Alves,43,22577,11793,10784,85
BA,Catolândia,100,4292,1990,2302,17
BA,Catu,129,40691,21603,19088,128
BA,Caturama,111,7174,3546,3628,31
BA,Caém,167,8018,4236,3782,31
BA,Central,159,13284,6667,6617,55
BA,Chorrochó,158,8817,4439,4378,43
BA,Cipó,79,14918,8005,6913,46
BA,Coaraci,135,15252,8046,7206,81
BA,Cocos,61,16210,7932,8278,56
BA,Conceição da Feira,108,17313,9280,8033,58
BA,Conceição do Almeida,184,14112,7341,6771,54
BA,Conceição do Coité,132,53552,28236,25316,197
BA,Conceição do Jacuípe,192,28780,15665,13115,80
BA,Conde,21,18616,9564,9052,59
BA,Condeúba,60,14983,7675,7308,67
BA,Contendas do Sincorá,58,4479,2169,2310,15
BA,Coração de Maria,130,22054,11764,10290,67
BA,Cordeiros,60,7004,3573,3431,25
BA,Coribe,61,12649,6236,6413,48
BA,Coronel João Sá,52,14762,7410,7352,49
BA,Correntina,124,27448,13746,13702,115
BA,Cotegipe,98,11671,5656,6015,44
BA,Cravolândia,38,4503,2227,2276,18
BA,Cristópolis,126,12202,5991,6211,52
BA,Crisópolis,81,16404,8232,8172,53
BA,Cruz das Almas,142,48462,26424,22038,164
BA,Curaçá,85,26864,13438,13426,107
BA,Cândido Sales,40,20499,10696,9803,87
BA,Cícero Dantas,82,25855,13443,12412,84
BA,Dias d'Ávila,186,52665,28089,24576,171
BA,Dom Basílio,101,10481,5134,5347,37
BA,Dom Macedo Costa,202,4800,2469,2331,22
BA,Dário Meira,147,8419,4207,4212,30
BA,Elísio Medrado,107,7561,3770,3791,27
BA,Encruzilhada,152,15292,7635,7657,61
BA,Entre Rios,144,30844,16304,14540,115
BA,Esplanada,21,26623,13770,12853,88
BA,Euclides da Cunha,102,44800,22963,21837,172
BA,Eunápolis,188,26835,14022,12813,90
BA,Eunápolis,203,55188,29645,25543,205
BA,Feira da Mata,125,5130,2536,2594,17
BA,Feira de Santana,154,114917,63945,50972,318
BA,Feira de Santana,155,86190,47852,38338,284
BA,Feira de Santana,156,120335,66456,53879,334
BA,Feira de Santana,157,104963,57906,47057,322
BA,Filadélfia,149,14891,7613,7278,50
BA,Firmino Alves,137,5736,2761,2975,19
BA,Floresta Azul,29,7708,3927,3781,34
BA,Formosa do Rio Preto,187,20184,9989,10195,81
BA,Fátima,82,15087,7637,7450,49
BA,Gandu,151,23115,12254,10861,79
BA,Gavião,191,4329,2119,2210,19
BA,Gentio do Ouro,68,9523,4621,4902,48
BA,Glória,84,12972,6662,6310,65
BA,Gongogi,73,5418,2729,2689,23
BA,Governador Mangabeira,131,18835,10188,8647,66
BA,Guajeru,93,6358,3201,3157,29
BA,Guanambi,64,65988,35196,30792,192
BA,Guaratinga,189,15538,7734,7804,64
BA,Heliópolis,110,12646,6367,6279,41
BA,Iaçu,193,20110,10555,9555,76
BA,Ibiassucê,93,8340,4178,4162,32
BA,Ibicaraí,29,17785,9294,8491,89
BA,Ibicoara,169,15669,7822,7847,46
BA,Ibicuí,146,11349,5768,5581,44
BA,Ibipeba,176,13388,6786,6602,59
BA,Ibipitanga,65,12855,6557,6298,47
BA,Ibiquera,42,4187,2016,2171,15
BA,Ibirapitanga,134,14337,7386,6951,56
BA,Ibirapuã,153,7363,3707,3656,28
BA,Ibirataia,24,15610,8203,7407,56
BA,Ibitiara,88,11872,6032,5840,49
BA,Ibititá,104,15343,7688,7655,68
BA,Ibotirama,173,20953,10752,10201,86
BA,Ichu,132,5937,3033,2904,22
BA,Igaporã,168,12071,6164,5907,38
BA,Igrapiúna,32,8931,4529,4402,45
BA,Iguaí,146,17436,8712,8724,75
BA,Ilhéus,25,53227,28596,24631,228
BA,Ilhéus,26,74298,40860,33438,245
BA,Inhambupe,44,27062,14135,12927,88
BA,Ipecaetá,143,14840,7830,7010,56
BA,Ipiaú,24,32254,17278,14976,124
BA,Ipirá,62,47267,24747,22520,173
BA,Ipupiara,94,8744,4336,4408,30
BA,Irajuba,76,5396,2753,2643,21
BA,Iramaia,169,8409,4087,4322,31
BA,Iraquara,89,18632,9646,8986,63
BA,Irará,74,25014,13283,11731,91
BA,Irecê,95,49814,27491,22323,164
BA,Itabela,189,21858,11265,10593,72
BA,Itaberaba,42,47685,25526,22159,156
BA,Itabuna,27,75285,41390,33895,239
BA,Itabuna,28,63831,35216,28615,214
BA,Itacaré,198,19277,9656,9621,63
BA,Itaeté,119,11175,5756,5419,44
BA,Itagi,147,10432,5317,5115,36
BA,Itagibá,147,13000,6603,6397,41
BA,Itagimirim,188,6553,3292,3261,22
BA,Itaguaçu da Bahia,68,10676,5332,5344,39
